iter	Passed	Remaining
0	60	60206
1	60	30407
2	61	20450
3	61	15434
4	62	12417
5	62	10404
6	63	8963
7	63	7895
8	64	7051
9	64	6378
10	64	5827
11	65	5365
12	65	4974
13	65	4639
14	66	4350
15	66	4098
16	67	3877
17	67	3679
18	67	3500
19	68	3340
20	68	3196
21	69	3072
22	69	2954
23	70	2849
24	70	2751
25	70	2658
26	71	2572
27	71	2496
28	72	2425
29	72	2357
30	73	2291
31	73	2230
32	74	2175
33	74	2121
34	75	2072
35	75	2029
36	76	1993
37	76	1948
38	77	1906
39	77	1865
40	78	1827
41	78	1790
42	78	1755
43	79	1720
44	79	1688
45	79	1656
46	80	1626
47	80	1597
48	80	1570
49	81	1544
50	81	1519
51	82	1498
52	82	1476
53	83	1455
54	83	1434
55	83	1414
56	84	1395
57	84	1376
58	85	1359
59	85	1342
60	86	1326
61	86	1310
62	87	1294
63	87	1278
64	87	1264
65	88	1252
66	88	1238
67	89	1220
68	89	1206
69	90	1195
70	90	1184
71	90	1172
72	91	1160
73	91	1149
74	92	1138
75	92	1127
76	93	1116
77	93	1107
78	94	1096
79	94	1087
80	94	1077
81	95	1068
82	95	1059
83	96	1049
84	96	1038
85	96	1029
86	97	1018
87	97	1010
88	97	1001
89	98	993
90	98	985
91	99	978
92	99	970
93	100	964
94	100	957
95	100	950
96	101	942
97	101	935
98	102	928
99	102	922
100	103	916
101	103	908
102	103	902
103	103	895
104	104	889
105	104	883
106	105	877
107	105	871
108	105	866
109	106	860
110	106	855
111	107	850
112	107	845
113	108	840
114	108	835
115	108	830
116	109	825
117	109	820
118	110	815
119	110	810
120	110	805
121	111	801
122	111	795
123	112	791
124	112	787
125	112	783
126	113	779
127	113	773
128	114	770
129	114	765
130	114	761
131	115	757
132	115	754
133	116	750
134	116	746
135	116	742
136	117	738
137	117	734
138	118	731
139	118	728
140	118	724
141	119	721
142	119	718
143	120	714
144	120	711
145	121	708
146	121	705
147	121	702
148	122	699
149	122	696
150	123	693
151	123	690
152	124	687
153	124	684
154	125	681
155	125	678
156	125	675
157	126	673
158	126	670
159	127	667
160	127	664
161	127	661
162	128	658
163	128	656
164	129	653
165	129	651
166	130	649
167	130	646
168	130	644
169	131	641
170	131	639
171	132	637
172	132	635
173	133	632
174	133	630
175	134	628
176	134	625
177	135	623
178	135	621
179	136	619
180	136	616
181	136	613
182	136	611
183	137	609
184	137	606
185	138	604
186	138	602
187	139	601
188	139	599
189	140	597
190	140	594
191	140	592
192	141	590
193	141	588
194	142	586
195	142	584
196	143	582
197	143	580
198	143	578
199	144	577
200	144	575
201	145	573
202	145	571
203	146	569
204	146	568
205	146	566
206	147	564
207	147	562
208	148	560
209	148	559
210	149	559
211	150	557
212	150	556
213	150	554
214	151	553
215	151	551
216	152	549
217	152	547
218	153	545
219	153	543
220	153	542
221	154	541
222	155	540
223	155	538
224	155	536
225	156	535
226	156	533
227	157	532
228	157	530
229	158	529
230	158	528
231	159	526
232	159	525
233	159	523
234	160	522
235	160	520
236	161	519
237	161	517
238	162	515
239	162	514
240	162	512
241	163	511
242	163	509
243	163	507
244	164	506
245	164	504
246	165	503
247	165	501
248	165	500
249	166	498
250	166	497
251	167	495
252	167	494
253	167	492
254	168	491
255	168	489
256	169	488
257	169	487
258	169	486
259	170	484
260	170	483
261	171	482
262	171	481
263	172	479
264	172	478
265	172	477
266	173	475
267	173	474
268	174	473
269	174	472
270	175	471
271	175	469
272	175	468
273	176	467
274	176	466
275	177	464
276	177	463
277	178	462
278	178	461
279	178	459
280	179	458
281	179	457
282	180	456
283	180	455
284	181	454
285	181	452
286	181	451
287	182	450
288	182	449
289	183	448
290	183	447
291	183	445
292	184	444
293	184	443
294	185	442
295	185	441
296	186	440
297	186	439
298	187	438
299	187	437
300	188	436
301	188	435
302	188	434
303	189	433
304	189	432
305	190	431
306	190	430
307	191	429
308	191	428
309	191	427
310	192	425
311	192	424
312	193	423
313	193	422
314	193	421
315	194	420
316	194	419
317	195	418
318	195	417
319	195	416
320	196	415
321	196	414
322	197	413
323	197	412
324	197	411
325	198	410
326	198	409
327	199	408
328	199	407
329	200	406
330	200	405
331	200	404
332	201	403
333	201	402
334	202	401
335	202	400
336	203	399
337	203	398
338	204	398
339	204	397
340	204	396
341	205	395
342	205	394
343	206	393
344	206	392
345	207	391
346	207	390
347	208	390
348	208	389
349	208	388
350	209	387
351	209	386
352	210	385
353	210	384
354	211	383
355	211	382
356	211	381
357	212	380
358	212	379
359	213	379
360	213	378
361	214	377
362	214	376
363	214	375
364	215	374
365	215	373
366	216	372
367	216	371
368	216	371
369	217	370
370	217	369
371	218	368
372	218	367
373	219	366
374	219	366
375	220	365
376	220	364
377	221	363
378	221	362
379	221	362
380	222	361
381	222	360
382	223	359
383	223	358
384	224	357
385	224	356
386	224	356
387	225	355
388	225	354
389	226	353
390	226	352
391	226	351
392	227	351
393	227	350
394	228	349
395	228	348
396	229	347
397	229	347
398	230	347
399	230	346
400	231	345
401	231	344
402	232	343
403	232	343
404	233	342
405	233	341
406	234	341
407	234	340
408	234	339
409	235	338
410	235	338
411	236	337
412	236	336
413	237	335
414	237	334
415	237	334
416	238	333
417	238	332
418	239	331
419	239	331
420	240	330
421	240	329
422	240	328
423	241	327
424	241	327
425	242	326
426	242	326
427	243	325
428	243	324
429	244	323
430	244	323
431	245	322
432	245	321
433	245	320
434	246	319
435	246	319
436	247	318
437	247	317
438	247	316
439	248	316
440	248	315
441	249	314
442	249	314
443	250	313
444	250	312
445	251	312
446	251	311
447	252	310
448	252	310
449	253	309
450	253	308
451	254	308
452	254	307
453	254	306
454	255	305
455	255	305
456	256	304
457	256	303
458	256	302
459	257	302
460	257	301
461	258	300
462	258	299
463	259	299
464	259	298
465	259	297
466	260	297
467	260	296
468	261	295
469	261	295
470	262	294
471	262	293
472	262	292
473	263	292
474	263	291
475	264	290
476	264	290
477	265	289
478	265	288
479	265	288
480	266	287
481	266	286
482	267	286
483	267	285
484	268	284
485	268	284
486	269	283
487	269	282
488	269	281
489	270	281
490	270	280
491	271	279
492	271	279
493	271	278
494	272	277
495	272	277
496	273	276
497	273	275
498	273	275
499	274	274
500	274	273
501	275	272
502	275	272
503	275	271
504	276	270
505	276	270
506	277	269
507	277	269
508	278	268
509	278	267
510	279	267
511	279	266
512	280	266
513	280	265
514	281	264
515	281	264
516	281	263
517	282	262
518	282	262
519	283	261
520	283	260
521	284	260
522	284	259
523	285	258
524	285	258
525	285	257
526	286	256
527	286	256
528	287	255
529	287	254
530	287	254
531	288	253
532	288	252
533	289	252
534	289	251
535	289	250
536	290	250
537	290	249
538	291	249
539	291	248
540	291	247
541	292	247
542	292	246
543	293	245
544	293	245
545	294	244
546	294	243
547	295	243
548	295	242
549	295	242
550	296	241
551	296	240
552	297	240
553	297	239
554	298	239
555	298	238
556	298	237
557	299	237
558	299	236
559	300	235
560	300	235
561	301	234
562	301	234
563	301	233
564	302	232
565	302	232
566	303	231
567	303	230
568	303	230
569	304	229
570	304	228
571	305	228
572	305	227
573	305	227
574	306	226
575	306	225
576	307	225
577	307	224
578	308	224
579	308	223
580	308	222
581	309	222
582	309	221
583	310	220
584	310	220
585	310	219
586	311	219
587	311	218
588	312	217
589	312	217
590	313	216
591	313	216
592	313	215
593	314	214
594	314	214
595	315	213
596	315	213
597	316	212
598	316	211
599	317	211
600	317	210
601	318	210
602	318	209
603	318	209
604	319	208
605	319	208
606	320	207
607	320	206
608	321	206
609	321	205
610	322	205
611	322	204
612	323	203
613	323	203
614	324	202
615	324	202
