iter	Passed	Remaining
0	58	58020
1	58	29328
2	59	19823
3	60	15099
4	62	12467
5	63	10578
6	64	9177
7	65	8151
8	66	7337
9	67	6683
10	68	6171
11	70	5787
12	71	5395
13	71	5067
14	72	4781
15	73	4528
16	74	4300
17	75	4105
18	76	3928
19	76	3768
20	77	3626
21	78	3503
22	79	3391
23	80	3284
24	81	3190
25	82	3108
26	83	3018
27	84	2948
28	85	2877
29	86	2811
30	87	2749
31	88	2686
32	89	2632
33	90	2577
34	91	2528
35	92	2484
36	93	2439
37	94	2398
38	95	2360
39	96	2321
40	97	2287
41	98	2253
42	99	2218
43	101	2195
44	102	2177
45	103	2152
46	104	2125
47	106	2110
48	107	2090
49	108	2068
50	109	2043
51	110	2021
52	111	1999
53	112	1978
54	114	1967
55	115	1945
56	116	1924
57	117	1909
58	118	1889
59	119	1871
60	120	1853
61	121	1834
62	122	1816
63	123	1798
64	123	1782
65	124	1767
66	125	1751
67	126	1734
68	127	1720
69	128	1708
70	129	1693
71	130	1679
72	131	1665
73	131	1651
74	132	1639
75	133	1626
76	134	1615
77	135	1603
78	136	1592
79	137	1580
80	138	1570
81	139	1557
82	139	1541
83	140	1532
84	141	1522
85	142	1513
86	149	1566
87	150	1559
88	152	1560
89	153	1556
90	154	1548
91	156	1547
92	157	1538
93	158	1529
94	160	1526
95	161	1518
96	162	1510
97	163	1501
98	164	1494
99	165	1487
100	166	1479
101	168	1479
102	169	1474
103	170	1467
104	171	1461
105	172	1453
106	173	1446
107	174	1442
108	175	1437
109	176	1428
110	178	1426
111	181	1438
112	182	1434
113	185	1444
114	188	1450
115	189	1445
116	190	1438
117	191	1430
118	192	1425
119	193	1418
120	194	1412
121	195	1403
122	196	1402
123	197	1396
124	198	1388
125	199	1382
126	199	1373
127	200	1366
128	201	1360
129	202	1353
130	203	1347
131	203	1340
132	204	1333
133	205	1328
134	206	1322
135	207	1315
136	207	1309
137	208	1303
138	209	1297
139	210	1290
140	210	1284
141	211	1276
142	212	1271
143	213	1266
144	213	1261
145	215	1257
146	215	1252
147	216	1246
148	217	1240
149	218	1236
150	218	1230
151	220	1230
152	221	1228
153	222	1222
154	223	1219
